"x","y","MPA_1","MPA_2","MPA_3","MPA_4","MPA_5","MPA_6","MPA_7","MPA_8","MPA_9","MPA_10"
-87.695,17.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.625,17.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.555,17.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.485,17.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.415,17.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.465,17.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,17.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.325,17.595,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.255,17.595,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA
-88.185,17.595,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA
-88.115,17.595,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA
-88.045,17.595,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-87.975,17.595,NA,NA,TRUE,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.905,17.595,NA,NA,TRUE,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.835,17.595,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.765,17.595,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.695,17.595,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.625,17.595,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.555,17.595,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.485,17.595,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.415,17.595,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-88.465,17.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,17.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.325,17.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.255,17.525,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
-88.185,17.525,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
-88.115,17.525,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
-88.045,17.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.975,17.525,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.905,17.525,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.835,17.525,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.765,17.525,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.695,17.525,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.625,17.525,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.555,17.525,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.485,17.525,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.415,17.525,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-88.465,17.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,17.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.325,17.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.255,17.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.185,17.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.115,17.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.045,17.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.975,17.455,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.905,17.455,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.835,17.455,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.765,17.455,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.695,17.455,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.625,17.455,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.555,17.455,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.485,17.455,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.415,17.455,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-88.465,17.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,17.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.325,17.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.255,17.385,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
-88.185,17.385,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA
-88.115,17.385,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA
-88.045,17.385,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA
-87.975,17.385,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE
-87.905,17.385,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE
-87.835,17.385,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.765,17.385,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.695,17.385,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.625,17.385,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.555,17.385,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.485,17.385,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.415,17.385,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-88.465,17.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,17.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.325,17.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.255,17.315,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
-88.185,17.315,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA
-88.115,17.315,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA
-88.045,17.315,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA
-87.975,17.315,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE
-87.905,17.315,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE
-87.835,17.315,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.765,17.315,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.695,17.315,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.625,17.315,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.555,17.315,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.485,17.315,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.415,17.315,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-88.465,17.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,17.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.325,17.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.255,17.245,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
-88.185,17.245,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA
-88.115,17.245,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA
-88.045,17.245,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA
-87.975,17.245,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE
-87.905,17.245,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE
-87.835,17.245,TRUE,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.765,17.245,TRUE,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.695,17.245,TRUE,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.625,17.245,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.555,17.245,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.485,17.245,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.415,17.245,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-88.465,17.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,17.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
