"x","y","seagrass_ras"
-87.835,16.545,NA
-87.765,16.545,NA
-87.695,16.545,NA
-87.625,16.545,NA
-87.555,16.545,NA
-87.485,16.545,NA
-87.415,16.545,NA
-88.465,16.475,NA
-88.395,16.475,NA
-88.325,16.475,0.270000010728836
-88.255,16.475,NA
-88.185,16.475,13.4099998474121
-88.115,16.475,3.24000000953674
-88.045,16.475,96.2099990844727
-87.975,16.475,15.9300003051758
-87.905,16.475,NA
-87.835,16.475,NA
-87.765,16.475,NA
-87.695,16.475,NA
-87.625,16.475,NA
-87.555,16.475,NA
-87.485,16.475,NA
-87.415,16.475,NA
-88.465,16.405,NA
-88.395,16.405,NA
-88.325,16.405,NA
-88.255,16.405,58.5
-88.185,16.405,6.21000003814697
-88.115,16.405,42.1199989318848
-88.045,16.405,272.880004882812
-87.975,16.405,NA
-87.905,16.405,NA
-87.835,16.405,NA
-87.765,16.405,NA
-87.695,16.405,NA
-87.625,16.405,NA
-87.555,16.405,NA
-87.485,16.405,NA
-87.415,16.405,NA
-88.465,16.335,NA
-88.395,16.335,NA
-88.325,16.335,13.1400003433228
-88.255,16.335,0.810000002384186
-88.185,16.335,55.6199989318848
-88.115,16.335,100.26000213623
-88.045,16.335,NA
-87.975,16.335,NA
-87.905,16.335,NA
-87.835,16.335,NA
-87.765,16.335,NA
-87.695,16.335,NA
-87.625,16.335,NA
-87.555,16.335,NA
-87.485,16.335,NA
-87.415,16.335,NA
-88.465,16.265,NA
-88.395,16.265,NA
-88.325,16.265,NA
-88.255,16.265,NA
-88.185,16.265,352.890014648438
-88.115,16.265,NA
-88.045,16.265,NA
-87.975,16.265,NA
-87.905,16.265,NA
-87.835,16.265,NA
-87.765,16.265,NA
-87.695,16.265,NA
-87.625,16.265,NA
-87.555,16.265,NA
-87.485,16.265,NA
-87.415,16.265,NA
-88.465,16.195,NA
-88.395,16.195,8.27999973297119
-88.325,16.195,39.8699989318848
-88.255,16.195,8.72999954223633
-88.185,16.195,16.7399997711182
-88.115,16.195,NA
-88.045,16.195,NA
-87.975,16.195,NA
-87.905,16.195,NA
-87.835,16.195,NA
-87.765,16.195,NA
-87.695,16.195,NA
-87.625,16.195,NA
-87.555,16.195,NA
-87.485,16.195,NA
-87.415,16.195,NA
-88.465,16.125,0.810000002384186
-88.395,16.125,5.40000009536743
-88.325,16.125,27.4500007629395
