"x","y",""
-87.695,17.455,NA
-87.625,17.455,NA
-87.555,17.455,NA
-87.485,17.455,531.63
-87.415,17.455,NA
-88.465,17.385,NA
-88.395,17.385,NA
-88.325,17.385,110.88
-88.255,17.385,78.3
-88.185,17.385,196.38
-88.115,17.385,230.58
-88.045,17.385,346.41
-87.975,17.385,NA
-87.905,17.385,901.17
-87.835,17.385,1000.17
-87.765,17.385,NA
-87.695,17.385,NA
-87.625,17.385,NA
-87.555,17.385,93.6
-87.485,17.385,31.77
-87.415,17.385,NA
-88.465,17.315,NA
-88.395,17.315,NA
-88.325,17.315,27.99
-88.255,17.315,NA
-88.185,17.315,451.89
-88.115,17.315,1004.13
-88.045,17.315,53.55
-87.975,17.315,NA
-87.905,17.315,980.28
-87.835,17.315,1006.74
-87.765,17.315,NA
-87.695,17.315,NA
-87.625,17.315,NA
-87.555,17.315,604.44
-87.485,17.315,NA
-87.415,17.315,NA
-88.465,17.245,NA
-88.395,17.245,NA
-88.325,17.245,503.73
-88.255,17.245,NA
-88.185,17.245,NA
-88.115,17.245,3.42
-88.045,17.245,57.42
-87.975,17.245,NA
-87.905,17.245,1019.88
-87.835,17.245,0.54
-87.765,17.245,NA
-87.695,17.245,NA
-87.625,17.245,4.68
-87.555,17.245,705.96
-87.485,17.245,NA
-87.415,17.245,NA
-88.465,17.175,NA
-88.395,17.175,NA
-88.325,17.175,319.86
-88.255,17.175,NA
-88.185,17.175,NA
-88.115,17.175,59.04
-88.045,17.175,0.36
-87.975,17.175,NA
-87.905,17.175,419.76
-87.835,17.175,NA
-87.765,17.175,NA
-87.695,17.175,NA
-87.625,17.175,125.28
-87.555,17.175,NA
-87.485,17.175,NA
-87.415,17.175,NA
-88.465,17.105,NA
-88.395,17.105,NA
-88.325,17.105,NA
-88.255,17.105,NA
-88.185,17.105,1.8
-88.115,17.105,NA
-88.045,17.105,627.39
-87.975,17.105,NA
-87.905,17.105,NA
-87.835,17.105,NA
-87.765,17.105,NA
-87.695,17.105,NA
-87.625,17.105,1.53
-87.555,17.105,NA
-87.485,17.105,NA
-87.415,17.105,NA
-88.465,17.035,NA
-88.395,17.035,NA
-88.325,17.035,NA
-88.255,17.035,27.9
-88.185,17.035,NA
-88.115,17.035,NA
-88.045,17.035,466.38
-87.975,17.035,NA
-87.905,17.035,NA
-87.835,17.035,NA
-87.765,17.035,NA
-87.695,17.035,NA
-87.625,17.035,NA
-87.555,17.035,NA
-87.485,17.035,NA
-87.415,17.035,NA
-88.465,16.965,NA
-88.395,16.965,NA
-88.325,16.965,NA
-88.255,16.965,NA
-88.185,16.965,NA
-88.115,16.965,137.34
-88.045,16.965,54
-87.975,16.965,NA
-87.905,16.965,NA
-87.835,16.965,NA
-87.765,16.965,NA
-87.695,16.965,NA
-87.625,16.965,NA
-87.555,16.965,NA
-87.485,16.965,NA
-87.415,16.965,NA
-88.465,16.895,NA
-88.395,16.895,NA
-88.325,16.895,NA
-88.255,16.895,NA
-88.185,16.895,NA
-88.115,16.895,663.21
-88.045,16.895,223.74
-87.975,16.895,NA
-87.905,16.895,NA
-87.835,16.895,NA
-87.765,16.895,489.6
-87.695,16.895,174.51
-87.625,16.895,NA
-87.555,16.895,NA
-87.485,16.895,NA
-87.415,16.895,NA
-88.465,16.825,NA
-88.395,16.825,NA
-88.325,16.825,NA
-88.255,16.825,126.99
-88.185,16.825,23.85
-88.115,16.825,935.19
-88.045,16.825,NA
-87.975,16.825,NA
-87.905,16.825,NA
-87.835,16.825,596.88
-87.765,16.825,241.2
-87.695,16.825,NA
-87.625,16.825,NA
-87.555,16.825,NA
-87.485,16.825,NA
-87.415,16.825,NA
-88.465,16.755,NA
-88.395,16.755,NA
-88.325,16.755,114.12
-88.255,16.755,NA
-88.185,16.755,NA
-88.115,16.755,682.38
-88.045,16.755,NA
-87.975,16.755,NA
-87.905,16.755,NA
-87.835,16.755,18.36
-87.765,16.755,28.89
-87.695,16.755,NA
-87.625,16.755,NA
-87.555,16.755,NA
-87.485,16.755,NA
-87.415,16.755,NA
-88.465,16.685,NA
-88.395,16.685,NA
-88.325,16.685,27.99
-88.255,16.685,NA
-88.185,16.685,40.68
-88.115,16.685,176.31
-88.045,16.685,NA
-87.975,16.685,NA
-87.905,16.685,NA
-87.835,16.685,NA
-87.765,16.685,NA
-87.695,16.685,NA
-87.625,16.685,NA
-87.555,16.685,NA
-87.485,16.685,NA
-87.415,16.685,NA
-88.465,16.615,NA
-88.395,16.615,81.99
-88.325,16.615,20.79
-88.255,16.615,NA
-88.185,16.615,37.98
-88.115,16.615,30.33
-88.045,16.615,14.67
-87.975,16.615,NA
-87.905,16.615,NA
-87.835,16.615,NA
-87.765,16.615,NA
-87.695,16.615,NA
-87.625,16.615,NA
-87.555,16.615,NA
-87.485,16.615,NA
-87.415,16.615,NA
-88.465,16.545,NA
-88.395,16.545,284.58
-88.325,16.545,NA
-88.255,16.545,NA
-88.185,16.545,31.77
-88.115,16.545,50.76
-88.045,16.545,47.88
-87.975,16.545,26.82
-87.905,16.545,NA
-87.835,16.545,NA
-87.765,16.545,NA
-87.695,16.545,NA
-87.625,16.545,NA
-87.555,16.545,NA
-87.485,16.545,NA
-87.415,16.545,NA
-88.465,16.475,NA
-88.395,16.475,NA
-88.325,16.475,0.27
-88.255,16.475,1.17
-88.185,16.475,13.41
-88.115,16.475,3.24
-88.045,16.475,96.21
-87.975,16.475,15.93
-87.905,16.475,NA
-87.835,16.475,NA
-87.765,16.475,NA
-87.695,16.475,NA
-87.625,16.475,NA
-87.555,16.475,NA
-87.485,16.475,NA
-87.415,16.475,NA
-88.465,16.405,149.94
-88.395,16.405,NA
-88.325,16.405,NA
-88.255,16.405,58.5
-88.185,16.405,6.21
-88.115,16.405,42.12
-88.045,16.405,272.88
-87.975,16.405,NA
-87.905,16.405,NA
-87.835,16.405,NA
-87.765,16.405,NA
-87.695,16.405,NA
-87.625,16.405,NA
-87.555,16.405,NA
-87.485,16.405,NA
-87.415,16.405,NA
-88.465,16.335,NA
-88.395,16.335,NA
-88.325,16.335,13.14
-88.255,16.335,0.81
-88.185,16.335,55.62
-88.115,16.335,100.26
-88.045,16.335,NA
-87.975,16.335,NA
-87.905,16.335,NA
-87.835,16.335,NA
-87.765,16.335,NA
-87.695,16.335,NA
-87.625,16.335,NA
-87.555,16.335,NA
-87.485,16.335,NA
-87.415,16.335,NA
-88.465,16.265,NA
-88.395,16.265,NA
-88.325,16.265,NA
-88.255,16.265,NA
-88.185,16.265,352.89
-88.115,16.265,NA
-88.045,16.265,NA
-87.975,16.265,NA
-87.905,16.265,NA
-87.835,16.265,NA
-87.765,16.265,NA
-87.695,16.265,NA
-87.625,16.265,NA
-87.555,16.265,NA
-87.485,16.265,NA
-87.415,16.265,NA
-88.465,16.195,NA
-88.395,16.195,8.28
-88.325,16.195,39.87
-88.255,16.195,8.73
-88.185,16.195,16.74
-88.115,16.195,NA
-88.045,16.195,NA
-87.975,16.195,NA
-87.905,16.195,NA
-87.835,16.195,NA
-87.765,16.195,NA
-87.695,16.195,NA
-87.625,16.195,NA
-87.555,16.195,NA
-87.485,16.195,NA
-87.415,16.195,NA
-88.465,16.125,0.81
-88.395,16.125,5.4
-88.325,16.125,27.45
-88.255,16.125,232.92
-88.185,16.125,NA
-88.115,16.125,NA
-88.045,16.125,NA
-87.975,16.125,NA
-87.905,16.125,NA
-87.835,16.125,NA
-87.765,16.125,NA
-87.695,16.125,NA
-87.625,16.125,NA
-87.555,16.125,NA
-87.485,16.125,NA
-87.415,16.125,NA
-88.465,16.055,NA
-88.395,16.055,NA
-88.325,16.055,5.13
-88.255,16.055,NA
-88.185,16.055,NA
-88.115,16.055,NA
-88.045,16.055,NA
-87.975,16.055,NA
-87.905,16.055,NA
-87.835,16.055,NA
-87.765,16.055,NA
-87.695,16.055,NA
-87.625,16.055,NA
-87.555,16.055,NA
-87.485,16.055,NA
-87.415,16.055,NA
-88.465,15.985,NA
-88.395,15.985,NA
-88.325,15.985,NA
-88.255,15.985,NA
-88.185,15.985,NA
-88.115,15.985,NA
-88.045,15.985,NA
-87.975,15.985,NA
-87.905,15.985,NA
-87.835,15.985,NA
-87.765,15.985,NA
-87.695,15.985,NA
-87.625,15.985,NA
-87.555,15.985,NA
-87.485,15.985,NA
-87.415,15.985,NA
